Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
000000306,00000112,false,0,8,FA,1F,C6,0E,3A,72,85,5F
000000307,00000100,false,0,8,0C,FC,7F,C0,5D,66,87,70
000000308,0000036F,false,0,5,20,FB,FE,FF,14,00,00,00
000000309,00000201,false,0,8,B1,4B,B1,4B,FF,FF,FF,FF
000000310,0000015F,false,0,8,CC,F7,00,7D,00,EE,00,7D
000000311,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000312,000002B0,false,0,6,43,4D,05,C8,FF,FF,00,00
000000313,00000301,false,0,7,FF,FF,FF,7F,FF,FF,CF,00
000000314,000000A5,false,0,8,3B,F8,FF,F7,7F,00,00,C1
000000315,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000316,000000D9,false,0,8,9F,F8,00,10,00,F0,7F,C8
000000317,000000F3,false,0,8,59,08,00,FF,F0,C0,FF,FF
000000318,00000100,false,0,8,51,FD,7F,C0,5D,66,87,70
000000319,00000199,false,0,6,FF,FF,AF,7E,FF,3F,00,00
000000320,0000019A,false,0,6,FF,FF,81,7E,FF,3F,00,00
000000321,0000019F,false,0,6,FF,FF,04,80,FF,2F,00,00
000000322,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000323,00000258,false,0,2,44,44,00,00,00,00,00,00
000000324,00000163,false,0,8,FF,FF,0E,25,FF,FF,FF,FF
000000325,00000173,false,0,8,DD,FD,00,0E,30,00,DE,10
000000326,000000EF,false,0,8,3B,F7,00,7D,21,FE,7C,FF
000000327,000001A1,false,0,5,14,C4,00,00,8A,00,00,00
000000328,00000112,false,0,8,FA,1F,C7,0E,3A,72,85,5F
000000329,000002C5,false,0,7,94,F1,00,20,06,20,CA,00
000000330,00000197,false,0,4,00,05,0E,C0,00,00,00,00
000000331,00000302,false,0,7,FF,FF,FF,7F,FC,FF,FF,00
000000332,00000100,false,0,8,B6,FE,7F,C0,5D,66,87,70
000000333,0000015F,false,0,8,90,F8,00,7D,00,EE,00,7D
000000334,000001E1,false,0,6,39,FD,04,FF,FF,FF,00,00
000000335,00000112,false,0,8,FA,1F,C6,0E,3A,72,85,5F
000000336,000000A5,false,0,8,66,F9,FF,F7,7F,00,00,C1
000000337,000000AC,false,0,2,00,F0,00,00,00,00,00,00
000000338,000000D9,false,0,8,C2,F9,00,10,00,F0,7F,C8
000000339,000000F3,false,0,8,04,09,00,FF,F0,C0,FF,FF
000000340,00000100,false,0,8,B7,F0,7F,C0,5D,66,87,70
000000341,00000199,false,0,6,FF,FF,C3,7E,FF,3F,00,00
000000342,0000019A,false,0,6,FF,FF,8B,7E,FF,3F,00,00
000000343,0000019F,false,0,6,FF,FF,E9,7F,FF,2F,00,00
000000344,00000254,false,0,8,FF,7F,FF,7F,FF,7F,FF,7F
000000345,00000258,false,0,2,44,44,00,00,00,00,00,00
000000346,00000206,false,0,8,B4,2C,5C,FF,FF,FF,FF,FF
000000347,000002F5,false,0,8,71,0F,60,29,22,0A,06,10
000000348,000000EF,false,0,8,67,F8,00,7D,21,FE,7C,FF
000000349,000001A1,false,0,5,33,C6,00,00,8A,00,00,00
000000350,00000112,false,0,8,FA,1F,C6,0E,3A,72,85,5F
000000351,00000239,false,0,8,31,89,2A,69,01,FF,FF,FF
